WSS, time,phi
0.000000,288.016529,85.841005
0.000000,288.119835,-78.951766
0.000000,288.223140,-55.060299
0.000000,288.326446,-53.415998
0.000000,288.429752,-63.502813
0.000000,288.533058,-0.336048
0.000000,288.636364,16.986966
0.000000,288.739669,41.279092
0.000000,288.842975,57.130279
0.000000,288.946281,58.073167
0.000000,289.049587,86.474395
0.000000,289.152893,-71.126741
0.000000,289.256198,-49.002962
0.000000,289.359504,-54.147892
0.000000,289.462810,-82.337451
0.000000,289.566116,-83.265263
0.000000,289.669421,-5.555433
0.000000,289.772727,2.029297
0.000000,289.876033,-20.194403
0.000000,289.979339,-8.074206
0.000000,290.082645,-8.990428
